ShortName,Version,Directory,File,Folder
HEC-RAS,6.4.1,C:\Program Files (x86)\HEC\HEC-RAS,C:\Program Files (x86)\HEC\HEC-RAS\6.4.1\Ras.exe,GIS
Hydro 3D (flow 3D),2022R2,C:\flow3d\FLOW3D_2022R2,C:\flow3d\FLOW3D_2022R2\local\flow3d.exe,GIS
Hydro 3D,2022R2,C:\flow3d\HYDRO_2022R2,C:\flow3d\HYDRO_2022R2\local\flow3d.exe,GIS
QGIS,3.34.1,C:\Program Files\QGIS 3.34.1,C:\Program Files\QGIS 3.34.1\bin\qgis-bin.exe,GIS
Avogadro,1.2.0 (Orca Enhanced),C:\AvogadroOrca4.2.1.current,C:\AvogadroOrca4.2.1.current\Avogadro\bin\avogadro.exe,CHEM
Orca,5.0.4,C:\Orca,C:\Orca\orca.exe,CHEM
PyMOL,2.5,C:\ProgramData\PyMOL,C:\ProgramData\PyMOL\PyMOLWin.exe,CHEM
AQTESOLV,4.5,C:\Program Files (x86)\HydroSOLVE\AQTESOLV Pro 4.0,C:\Program Files (x86)\HydroSOLVE\AQTESOLV Pro 4.0\Aqtw32.exe,CIVE
CloudCompare,2.13,C:\Program Files\CloudCompare,C:\Program Files\CloudCompare\CloudCompare.exe,CIVE
Hydrus-1D,4.17.0140,C:\Program Files (x86)\PC-Progress\Hydrus-1D 4.xx,C:\Program Files (x86)\PC-Progress\Hydrus-1D 4.xx\HYDRUS1D.EXE,CIVE
Life 365,2.2.3,C:\Program Files\Life-365 Consortium III\Life-365,C:\Program Files\Life-365 Consortium III\Life-365\Life-365.exe,CIVE
SAP2000,23,C:\Program Files\Computers and Structures\SAP2000 23,C:\Program Files\Computers and Structures\SAP2000 23\SAP2000.exe,CIVE
SuperPro Designer,11,C:\Program Files (x86)\Intelligen\SuperPro Designer\v11,C:\Program Files (x86)\Intelligen\SuperPro Designer\v11\Designer.exe,CIVE
West Point Bridge Design,2016,C:\Program Files (x86)\Bridge Designer 2016 (2nd Edition),C:\Program Files (x86)\Bridge Designer 2016 (2nd Edition)\bdv16j243.exe,CIVE
Anaconda,2023.07-2,C:\ProgramData\anaconda3,C:\ProgramData\anaconda3\pythonw.exe,Programming
Visual Studio Code,1.81.1,C:\Program Files\Microsoft VS Code,C:\Program Files\Microsoft VS Code\Code.exe,Programming
NetLogo,6.3.0,C:\Program Files\NetLogo 6.3.0,C:\Program Files\NetLogo 6.3.0\NetLogo.exe,Programming
Python,3.11.4,C:\Program Files\Python311,C:\Program Files\Python311\pythonw.exe,Programming
